,acy,sem,cos_id,cos_code,num_limit,dep_limit,URL,cos_cname,cos_credit,cos_hours,TURL,teacher,cos_time,memo,cos_ename,brief,degree,dep_id,dep_primary,dep_cname,dep_ename,cos_type,cos_type_e,crsoutline_type,reg_num,depType
1131_110099,113,1,110099,MDMD20076,9999,*,,影像診斷學,1.30,1.30,,凌憬峰、吳銘庭、周宜宏、邱宏仁、陳俊谷、邱乃祈、柳建安、吳慶蘭,M12345678T34W123478R1234F12345678-YT002[YM],"限醫學系四年級, 請參照PBL整合課程行事曆",Imaging Diagnosis,,1,101,1,醫學系,School of Medicine,必修,Required,data,138,U
1131_110100,113,1,110100,MDMD20129,9999,*,,核子醫學,.40,.40,,彭南靖、王昱豐、胡蓮欣、林可瀚、李哲皓、姚珊汎,M12345678T34W123478R1234F12345678-YT002[YM],"限醫學系四年級, 請參照PBL整合課程行事曆",Nuclear Medicine,,1,101,1,醫學系,School of Medicine,必修,Required,data,138,U
1131_110101,113,1,110101,MDMD20077,9999,*,,復健醫學,.40,.40,,高崇蘭、楊翠芬、張誌剛、蔡昀岸、李思慧、邱然偉、劉鼎浩,M12345678T34W123478R1234F12345678-YT002[YM],"限醫學系四年級, 請參照PBL整合課程行事曆",Physical Medicine & Rehabilitation,,1,101,1,醫學系,School of Medicine,必修,Required,data,138,U
1131_113903,113,1,113903,MDCH10004,9999,*,,生命科學概論(一),2.00,2.00,,盧美光,T12-YK533[YM],[English Medium Course],Introduction to Life Sciences (I),,1,119,1,中醫學系,Department of Chinese Medicine,必修,Required,data,28,U
1131_113904,113,1,113904,MDCH10007,9999,*,,心靈成長,1.00,1.00,,林東毅、黃怡超、張清貿,Tn-YK436[YM],,Spiritual growth (mentor time),,1,119,1,中醫學系,Department of Chinese Medicine,必修,Required,data,10,U
1131_113905,113,1,113905,MDCH10007,9999,*,,心靈成長,1.00,1.00,,林東毅、洪裕強、盧美光、龔彥穎,Tn-YK533[YM],,Spiritual growth (mentor time),,1,119,1,中醫學系,Department of Chinese Medicine,必修,Required,data,9,U
1131_113906,113,1,113906,MDCH10007,9999,*,,心靈成長,1.00,1.00,,林東毅、傅淑玲、許中華,Tn-YK533[YM],,Spiritual growth (mentor time),,1,119,1,中醫學系,Department of Chinese Medicine,必修,Required,data,9,U
1131_111502,113,1,111502,DEDE10009,50,*,,口腔胚胎及組織學,2.00,2.00,,張婷菡、吳靜宜、王鼎涵、林怡彣、夏堪臺、張蓮鈺,T1234F1234-YD320[YM],,Oral Embryology & Histology,,1,150,1,牙醫學系,Department of Dentistry ,必修,Required,data,42,U
1131_111503,113,1,111503,DEDE10010,50,*,,口腔胚胎及組織學實驗,1.00,6.00,,張婷菡、吳靜宜、林怡彣,T1234F12345678-YD320[YM],,Oral Embryology & Histology Lab.,,1,150,1,牙醫學系,Department of Dentistry ,必修,Required,data,41,U
1131_111515,113,1,111515,DEDE10012,50,*,,口腔解剖學,1.30,2.00,,楊政杰、高壽延、涂曦丰、王鼎涵、林宥成、吳政憲、羅文良、于恩浩、吳和泰、邱昱瑋、成函潔,T1234F1234-YD210[YM],,Oral Anatomy,,1,150,1,牙醫學系,Department of Dentistry ,必修,Required,data,41,U
1131_111516,113,1,111516,DEDE10013,50,*,,口腔解剖學實驗,.50,1.00,,楊政杰、高壽延、涂曦丰、林宥成、吳政憲、于恩浩、吳和泰、邱昱瑋、成函潔,T1234F12345678-YD210[YM],,Oral Anatomy Lab.,,1,150,1,牙醫學系,Department of Dentistry ,必修,Required,data,41,U
1131_111520,113,1,111520,DEDE20005,50,*,,內科學概論,1.00,2.00,,黃怡翔、黃金洲、陳涵栩、陳志強、胡啟民、王嚴鋒、陳瑋昇、賴建志、王維庭、蔡佳叡、陳俊宇、何莉櫻、阮志翰、蔡淳光、何翊芯、吳政億、林柏佐、張綜顯、馮嘉毅、林亮羽、許劭榮,T34-YD214[YM],,Introduction to Internal Medicine,,1,150,1,牙醫學系,Department of Dentistry ,必修,Required,data,40,U
1131_111526,113,1,111526,DEDE20044,50,*,,麻醉學,1.00,1.00,,曹正明、丁乾坤、林祐霆、朱雅淳、何照明、楊舜欽、宋俊松、林素滿、鄒樂起、林世斌、王審之、郭怡敏、王馨苡、吳襄齡、鄧惟濃、許文瑛、柯惠瑄、張文貴、劉靖揚,T34-YD105[YM],,Anesthesiology,,1,150,1,牙醫學系,Department of Dentistry ,必修,Required,data,41,U
1131_111803,113,1,111803,NSDN20011,254,*,,成人護理學Ⅰ,3.00,3.00,,孫秀卿、陳俞琪、邱愛富、廖媛美、童恒新、胡慧蘭、黃淑鶴、楊曼華、侯宜菁、陳律言、廖咨詠、廖淑櫻、童惠芳,M1234T1234W1234-,,Adult NursingⅠ,,1,201,1,護理學系,Department of Nursing,必修,Required,data,43,U
1131_111804,113,1,111804,NSDN20013,254,*,,成人護理學實習Ⅰ,3.00,6.00,,孫秀卿、陳俞琪、黃淑鶴、楊曼華、陳律言、賴鼎璁、溫明寰、林曼玲、童惠芳、王佳雯、王佩琮、許志忠、呂翠萍、盧一瑩、塗勝翔、吳碧珠、莊瑞玲、施瓊玉、林承萱、張嘉琪、楊易宏、郭憶文、許鈺絹、蘇惠文、楊翎玉,M12345678T12345678W12345678-,台北榮總、衛生福利部桃園醫院,Adult Nursing PracticeⅠ,,1,201,1,護理學系,Department of Nursing,必修,Required,data,43,U
1131_111807,113,1,111807,NSDN20014,254,*,,成人護理學實習Ⅱ,3.00,6.50,,孫秀卿、陳俞琪、廖媛美、黃淑鶴、楊曼華、陳律言、廖咨詠、賴鼎璁、張議文、廖淑櫻、李雅萍、溫明寰、林曼玲、童惠芳、王佳雯、連如玉、呂翠萍、盧一瑩、塗勝翔、吳碧珠、梁巧儒、張嘉琪、周珊如、郭憶文、許鈺絹、蘇惠文、楊翎玉,M12345678T12345678W12345678-,台北榮總,Adult Nursing PracticeⅡ,,1,201,1,護理學系,Department of Nursing,必修,Required,data,43,U
1131_111809,113,1,111809,NSDN20016,254,*,,社區衛生護理學,3.00,3.00,,王子芳、黃子庭、陳怡如、簡莉盈、陳紀雯、周承珍、廖咨詠、林承霈、張芬娥、周明慧,M12345678T12345678W12345678-YN301[YM],,Community Health Nursing,,1,201,1,護理學系,Department of Nursing,必修,Required,data,40,U
